Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
59066,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,AMBYSTOMATIDAE,Ambystoma,ordinarium,"Taylor, 1940",,,,,Ambystoma ordinaria,"Michoacan Stream Salamander, Michoacan Stream Siredon, Puerto Hondo Stream Salamander",,,EN,"B1ab(iii,iv,v)",3.1,2015,decreasing,N
55236,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Ameerega,silverstonei,"(Myers & Daly, 1979)",,,,,Epipedobates silverstonei,Silverstone's Poison Frog,,Rana Venenosa,EN,"B1ab(iii,v)",3.1,2014,decreasing,N
174138,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,TEIIDAE,Ameiva,corax,"Censky & Paulson, 1992",,,,,"","Censky's Ameiva, Anguilla Black Ameiva, Little Scrub Island Ground Lizard",,,EN,D,3.1,2016,unknown,N
1118,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,TEIIDAE,Ameiva,polops,"Cope, 1862",,,,,"","St. Croix Ameiva, Saint Croix Ground Lizard, St. Croix Ground Lizard",,,EN,B2ab(iii),3.1,2016,unknown,N
50008980,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,TEIIDAE,Ameiva,provitaae,"Garcia-Perez, 1995",,,,,"",,,Mato Trompa Roja,EN,B1ab(v),3.1,2016,decreasing,N
194268,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,TYPHLOPIDAE,Amerotyphlops,tasymicris,"(Thomas, 1974)",,,,,Typhlops tasymicris,"Grenada Bank Blindsnake, Grenada Worm Snake",,,EN,B1ab(iii),3.1,2011,unknown,N
75606981,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,TYPHLOPIDAE,Amerotyphlops,trinitatus,"(Richmond, 1965)",,,,,Typhlops trinitatus,Trinidad Worm Snake,,,EN,B1ab(iii),3.1,2016,unknown,N
58187,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PYXICEPHALIDAE,Amietia,inyangae,"(Poynton, 1966)",,,,,Afrana inyangae  ,Inyangani River Frog,,,EN,B1ab(iii)+2ab(iii),3.1,2004,decreasing,N
58188,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PYXICEPHALIDAE,Amietia,johnstoni,"(Günther, 1894)",,,,,Afrana johnstoni  ,Johnston's River Frog,,,EN,B1ab(iii),3.1,2004,decreasing,N
1149,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Ammospermophilus,nelsoni,"(Merriam, 1893)",,,,,"","Nelson's Antelope Squirrel, San Joaquin Antelope Ground Squirrel, San Joaquin Antelope Squirrel",,,EN,B1ab(iii),3.1,2008,decreasing,N
58194,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Amnirana,asperrima,"(Perret, 1977)",,,,,Hylarana asperrima,Nkongsamba Frog,,,EN,B2ab(iii),3.1,2004,decreasing,N
